undefined,#genre#
CCTV1,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/01.m3u8?fmt=ts2hls
CCTV2,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225918/01.m3u8?fmt=ts2hls
CCTV3,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225963/01.m3u8?fmt=ts2hls
CCTV4,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225898/01.m3u8?fmt=ts2hls
CCTV5,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225964/01.m3u8?fmt=ts2hls
CCTV6,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225965/01.m3u8?fmt=ts2hls
CCTV7,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225897/01.m3u8?fmt=ts2hls
CCTV8,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225966/01.m3u8?fmt=ts2hls
CCTV10,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225917/01.m3u8?fmt=ts2hls
CCTV11,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225867/01.m3u8?fmt=ts2hls
CCTV12,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225915/01.m3u8?fmt=ts2hls
CCTV13,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225957/01.m3u8?fmt=ts2hls
CCTV14,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225916/01.m3u8?fmt=ts2hls
CCTV15,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225866/01.m3u8?fmt=ts2hls
CCTV5+,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225663/01.m3u8?fmt=ts2hls
内蒙古卫视,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225676/01.m3u8?fmt=ts2hls
内蒙古少儿,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225874/01.m3u8?fmt=ts2hls
内蒙古农牧,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225878/01.m3u8?fmt=ts2hls
内蒙古经济生活,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225879/01.m3u8?fmt=ts2hls
内蒙古新闻综合,http://39.136.34.120/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225875/01.m3u8?fmt=ts2hls
内蒙古蒙语文化,http://39.136.34.120/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225876/01.m3u8?fmt=ts2hls
辽宁卫视,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225902/01.m3u8?fmt=ts2hls
浙江卫视,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225906/01.m3u8?fmt=ts2hls
天津卫视,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225907/01.m3u8?fmt=ts2hls
江苏卫视,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225909/01.m3u8?fmt=ts2hls
湖南卫视,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225912/01.m3u8?fmt=ts2hls
北京卫视,http://39.136.34.125/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225913/01.m3u8?fmt=ts2hls
