undefined,#genre#
CCTV1,http://111.56.121.176/050000001888/5000000188800000108/index.m3u8
CCTV2,http://111.56.121.176/050000001888/5000000188800000110/index.m3u8
CCTV3,http://111.56.121.176/050000001888/5000000188800000111/index.m3u8
CCTV4,http://111.56.121.176/050000001888/5000000188800000112/index.m3u8
CCTV5,http://111.56.121.176/050000001888/5000000188800000113/index.m3u8
CCTV6,http://111.56.121.176/050000001888/5000000188800000114/index.m3u8
CCTV7,http://111.56.121.176/050000001888/5000000188800000115/index.m3u8
CCTV8,http://111.56.121.176/050000001888/5000000188800000116/index.m3u8
CCTV9,http://111.56.121.176/050000001888/5000000188800000117/index.m3u8
CCTV10,http://111.56.121.176/050000001888/5000000188800000118/index.m3u8
CCTV11,http://111.56.121.176/050000001888/5000000188800000100/index.m3u8
CCTV12,http://111.56.121.176/050000001888/5000000188800000119/index.m3u8
CCTV13,http://111.56.121.176/050000001888/5000000188800000101/index.m3u8
CCTV+5,http://111.56.121.176/050000001888/5000000188800000120/index.m3u8
第一剧场,http://111.56.121.176/050000001888/5000000188800000155/index.m3u8
怀旧剧场,http://111.56.121.176/050000001888/5000000188800000192/index.m3u8
世界地理,http://111.56.121.176/050000001888/5000000188800000156/index.m3u8
风云剧场,http://111.56.121.176/050000001888/5000000188800000157/index.m3u8
风云音乐,http://111.56.121.176/050000001888/5000000188800000158/index.m3u8
风云足球,http://111.56.121.176/050000001888/5000000188800000159/index.m3u8
央视精品文化,http://111.56.121.176/050000001888/5000000188800000160/index.m3u8
女性时尚,http://111.56.121.176/050000001888/5000000188800000161/index.m3u8
央视台球,http://111.56.121.176/050000001888/5000000188800000162/index.m3u8
兵器科技,http://111.56.121.176/050000001888/5000000188800000163/index.m3u8
电视指南,http://111.56.121.176/050000001888/5000000188800000164/index.m3u8
老故事,http://111.56.121.176/050000001888/5000000188800000166/index.m3u8
中学生,http://111.56.121.176/050000001888/5000000188800000167/index.m3u8
汽摩,http://111.56.121.176/050000001888/5000000188800000169/index.m3u8
国学频道,http://111.56.121.176/050000001888/5000000188800000170/index.m3u8
发现之旅,http://111.56.121.176/050000001888/5000000188800000171/index.m3u8
书法频道,http://111.56.121.176/050000001888/5000000188800000172/index.m3u8
环球奇观,http://111.56.121.176/050000001888/5000000188800000173/index.m3u8
车迷频道,http://111.56.121.176/050000001888/5000000188800000174/index.m3u8
生态环境,http://111.56.121.176/050000001888/5000000188800000175/index.m3u8
环球旅游,http://111.56.121.176/050000001888/5000000188800000176/index.m3u8
四海钓鱼,http://111.56.121.176/050000001888/5000000188800000177/index.m3u8
财富天下,http://111.56.121.176/050000001888/5000000188800000179/index.m3u8
中华特产,http://111.56.121.176/050000001888/5000000188800000180/index.m3u8
优优宝贝,http://111.56.121.176/050000001888/5000000188800000181/index.m3u8
证劵服务,http://111.56.121.176/050000001888/5000000188800000182/index.m3u8
高尔夫.网球,http://111.56.121.176/050000001888/5000000188800000183/index.m3u8





呼和浩特新闻,http://111.56.121.176/050000001888/5000000188800000121/index.m3u8
内蒙古卫视,http://111.56.121.176/050000001888/5000000188800000122/index.m3u8#http://111.56.121.176/050000001888/5000000188800000126/index.m3u8#http://111.56.121.176/050000001888/5000000188800000134/index.m3u8#http://111.56.121.176/050000001888/5000000188800000178/index.m3u8#http://111.56.121.176/050000001888/5000000188800000184/index.m3u8#http://111.56.121.176/050000001888/5000000188800000191/index.m3u8
呼和浩特影视娱乐,http://111.56.121.176/050000001888/5000000188800000123/index.m3u8
新闻综合,http://111.56.121.176/050000001888/5000000188800000124/index.m3u8#http://111.56.121.176/050000001888/5000000188800000133/index.m3u8#http://111.56.121.176/050000001888/5000000188800000141/index.m3u8
经济服务,http://111.56.121.176/050000001888/5000000188800000125/index.m3u8
蒙语,http://111.56.121.176/050000001888/5000000188800000127/index.m3u8#http://111.56.121.176/050000001888/5000000188800000143/index.m3u8
乌海新闻综合,http://111.56.121.176/050000001888/5000000188800000128/index.m3u8
乌海都市生活,http://111.56.121.176/050000001888/5000000188800000129/index.m3u8
包头新闻综合,http://111.56.121.176/050000001888/5000000188800000130/index.m3u8
包头生活服务,http://111.56.121.176/050000001888/5000000188800000131/index.m3u8
包头经济生活,http://111.56.121.176/050000001888/5000000188800000132/index.m3u8
乌兰察布新闻综合,http://111.56.121.176/050000001888/5000000188800000135/index.m3u8
阿拉善新闻综合,http://111.56.121.176/050000001888/5000000188800000136/index.m3u8
未知,http://111.56.121.176/050000001888/5000000188800000137/index.m3u8
巴彦淖尔新闻综合,http://111.56.121.176/050000001888/5000000188800000138/index.m3u8
巴彦淖尔经济生活,http://111.56.121.176/050000001888/5000000188800000139/index.m3u8
巴彦淖尔影视娱乐,http://111.56.121.176/050000001888/5000000188800000140/index.m3u8
城市服务,http://111.56.121.176/050000001888/5000000188800000142/index.m3u8
赤峰新闻综合,http://111.56.121.176/050000001888/5000000188800000144/index.m3u8
赤峰经济服务,http://111.56.121.176/050000001888/5000000188800000145/index.m3u8
赤峰影视娱乐,http://111.56.121.176/050000001888/5000000188800000146/index.m3u8
踢林郭勒盟,http://111.56.121.176/050000001888/5000000188800000147/index.m3u8
踢林郭勒盟2,http://111.56.121.176/050000001888/5000000188800000148/index.m3u8
兴安新闻综合,http://111.56.121.176/050000001888/5000000188800000149/index.m3u8
兴安文化旅游,http://111.56.121.176/050000001888/5000000188800000150/index.m3u8
兴安影视娱乐,http://111.56.121.176/050000001888/5000000188800000151/index.m3u8
呼伦贝尔新闻综合,http://111.56.121.176/050000001888/5000000188800000152/index.m3u8
呼伦贝尔文化旅游,http://111.56.121.176/050000001888/5000000188800000153/index.m3u8
呼伦贝尔生活资讯,http://111.56.121.176/050000001888/5000000188800000154/index.m3u8
中国教育台,http://111.56.121.176/050000001888/5000000188800000165/index.m3u8
湖北卫视,http://111.56.121.176/050000001888/5000000188800000188/index.m3u8
广东卫视,http://111.56.121.176/050000001888/5000000188800000208/index.m3u8
延边卫视,http://111.56.121.176/050000001888/5000000188800000209/index.m3u8
兵团卫视,http://111.56.121.176/050000001888/5000000188800000210/index.m3u8
康巴卫视,http://111.56.121.176/050000001888/5000000188800000211/index.m3u8
三沙卫视,http://111.56.121.176/050000001888/5000000188800000214/index.m3u8
甘肃卫视,http://111.56.121.176/050000001888/5000000188800000215/index.m3u8
云南卫视,http://111.56.121.176/050000001888/5000000188800000216/index.m3u8
CCTV4k,http://111.56.121.176/050000001888/5000000188800000217/index.m3u8
4k少儿,http://111.56.121.176/050000001888/5000000188800000185/index.m3u8
电影,http://111.56.121.176/050000001888/5000000188800000186/index.m3u8
电视剧,http://111.56.121.176/050000001888/5000000188800000187/index.m3u8
测试,http://111.56.121.176/050000001888/5000000188800000189/index.m3u8
4k电影,http://111.56.121.176/050000001888/5000000188800000190/index.m3u8
广西卫视,http://111.56.121.176/050000001888/5000000188800000102/index.m3u8
咪咕视频,http://111.56.121.176/050000001888/5000000188800000103/index.m3u8
精彩竞技,http://111.56.121.176/050000001888/5000000188800000106/index.m3u8
精彩篮球,http://111.56.121.176/050000001888/5000000188800000107/index.m3u8
精彩少儿,http://111.56.121.176/050000001888/5000000188800000109/index.m3u8
