婷婷提醒公告,#genre#
开启lPV6,http://mobi.kuwo.cn/tmevideo/tme1257697.mp4 
央视正常看,https://vd3.bdstatic.com/mda-mh8j8egnj8idbvd8/1080p/cae_h264/1629367979662473678/mda-mh8j8egnj8idbvd8.mp4 
CCTV-5体育(4k),http://183.207.248.71/PLTV/4/224/3221228502/1.m3u8 
港澳秒播区,#genre#

凤凰卫视,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah001-golive.flv

凤凰资讯,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah002-golive.flv

凤凰香港,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah003-golive.flv

有线18跑马,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00a17-golive.flv
HOY76,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b47-golive.flv
HOY77,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b48-golive.flv
HOY78,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b49-golive.flv

NOW新闻,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b44-golive.flv

NOW财经,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b45-golive.flv
ROCKACTION,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b34-golive.flv

ROCKENTERTAINMENT综艺娱乐,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b33-golive.flv
RTHK31,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00a25-golive.flv
RTHK32,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00a26-golive.flv
SUPERKIDSCHANNEL,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00a19-golive.flv

THRILL惊悚台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b29-golive.flv
TVN,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00a28-golive.flv
KIX,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b31-golive.flv
LOVENATURE4K,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b35-golive.flv

MYTVSUPER18台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00a16-golive.flv
TVBDRAMA,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b42-golive.flv
TVBPLUS,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah007-golive.flv
TVBSUPERFREE,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00a18-golive.flv

Plus综合AKtv,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8

pₒₚc电影AKtv,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8

Now星影AKtv,http://aktv.top/AKTV/live/aktv/now/AKTV.m3u8

Now爆谷AKtv,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8

美亚电影AKtv,http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8

凤凰中文AKtv,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8

凤凰资讯AKtv,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8

凤凰香港AKtv,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8

中天新闻AKtv,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8

有线新闻AKtv,http://aktv.top/AKTV/live/aktv/hoy78/AKTV.m3u8

无线新闻AKtv,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8

无线翡翠AKtv,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8

无线明珠AKtv,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8

无线赛马AKtv,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8

28ai赛马AKtv,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8

黄金翡翠AKtv,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8

无线娱乐AKtv,http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8

无线星河AKtv,http://aktv.top/AKTV/live/aktv2/tvb/AKTV.m3u8

无线经典AKtv,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8

无线亚剧AKtv,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8

无线翡剧AKtv,http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8

无线明剧AKtv,http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8

无线J1美AKtv,http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8

无线新美AKtv,http://aktv.top/AKTV/live/aktv/null-20/AKTV.m3u8

VIUTV-粤AKtv,http://aktv.top/AKTV/live/aktv2/viutv99/AKTV.m3u8

VIUTV-英AKtv,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8

tvbs新闻AKtv,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8

tvbs新闻AKtv,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8

tvbs闽南AKtv,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8

寰宇新闻AKtv,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8

三立新闻AKtv,http://aktv.top/AKTV/live/aktv/null-14/AKTV.m3u8

中视闽南AKtv,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8

华视闽南AKtv,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8

中天亚洲AKtv,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8

靖天电影AKtv,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8

龙华电影AKtv,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8

