央视直播,#genre#
CCTV1高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv1
CCTV2,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv2
CCTV3,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv3
CCTV4,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv4
CCTV5高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv5
CCTV5+高清,http://zy.otioi.cn/live/live.php?token=zy-2969297279&id=cctv5p
CCTV6,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv6
CCTV7,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv7
CCTV8,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv8
CCTV9,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv9
CCTV10,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv10
CCTV11,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv11
CCTV12,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv12
CCTV13,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv13
CCTV14,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv14
CCTV15,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv15
CCTV-16 奥林匹克,https://itv.lat/tv/live.php?&line=1&id=cctv16
CCTV-17 农业农村,https://itv.lat/tv/live.php?&line=1&id=cctv17
CCTV-4K 超高清,https://itv.lat/tv/live.php?&line=1&id=cctv4k
CCTV-16 奥林匹克 4K,https://itv.lat/tv/live.php?&line=1&id=cctv164k
CCTV-央视台球,http://gzly.hkychina.com:6001/udp/239.252.219.80:5140
CCTV-书画频道,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel11009/index.m3u8

CCTV-央视台球,https://hlsliveali-cdn.ysp.cctv.cn/990B5D33F235E26DCD19C8ABE16C480E80BFB7C1D1E545106894DE8FD7FF74A1E879401F9918A252B9D6C8304BA0AB6C528A3FEAB2DBD35AA5E985AE7E4AC2131BA01FE0BDABDCC3A424923809337FA45CF96E71784FEDEE106F640A9408393A73FE33EA0163ADBF7D1767B4DB25F7FA10E301279D098160465C29A46371D63F/2012513703.m3u8?from=player&svrtime=1715609539&pid=600170344&cdn=5506&revoi=B9BA288C75EEB202B5995B1B53ED51C904715469107D624232B97C1C0F5646527C449A7A722311B56E2548E6B3814C49DCB7358D3B6E526C271963A972BB7B4289A6F0FD1B7327E9694BB00AB512CE7C227919BD83D3305BB6F4B1D98D8B63EE5F98277CC309FB61F911A099050052DA15A64FA4DEE26DA5D1B3C5309CC032D3904538DC5BA128F4928A88E6D701280688C753DE4E78A8D0A855F44227AF798EA813A06A748B3FBCF9304228C4620088
CCTV-兵器科技,http://120.233.184.248/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513403.m3u8
CCTV-高尔夫网球,http://120.233.184.248/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012512503.m3u8
CCTV-卫生健康,http://120.233.184.248/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513503.m3u8


CCTV文化精品,http://mail.petzhu.top:7000/udp/239.254.200.111:6251
CCTV文化精品,http://mail.petzhu.top:7000/udp/239.254.201.229:7260
CCTV文化精品,http://183.236.154.137:8605/udp/239.11.0.66:1025
CCTV文化精品,http://nxlj.cn:1688/udp/239.45.0.53:5140
CCTV文化精品,http://nxlj.cn:1688/udp/239.45.1.17:5140
CCTV文化精品,http://rance.eicp.net:9981/udp/239.45.0.53:5140
CCTV文化精品,http://rance.eicp.net:9981/udp/239.45.1.17:5140
CCTV文化精品,http://www.jflying0505.top:8888/udp/239.45.0.53:5140
CCTV文化精品,http://www.jflying0505.top:8888/udp/239.45.1.17:5140
CCTV文化精品,http://home.qingyuga.me:8888/udp/239.45.0.53:5140
CCTV文化精品,http://home.qingyuga.me:8888/udp/239.45.1.17:5140
CCTV文化精品,http://home.nuaa.sh.cn:4000/udp/239.45.0.53:5140
CCTV文化精品,http://home.nuaa.sh.cn:4000/udp/239.45.1.17:5140
CCTV文化精品,http://www.17888.fun:10000/udp/239.45.0.53:5140
CCTV文化精品,http://www.17888.fun:10000/udp/239.45.1.17:5140
CCTV文化精品,http://www.ketsusi.com:8822/udp/239.45.0.53:5140
CCTV文化精品,http://www.ketsusi.com:8822/udp/239.45.1.17:5140
CCTV文化精品,http://majian.ixiaobai.net:58888/rtp/239.37.0.083:5540

CCTV-第一剧场,http://doityoume.x3322.net:5100/rtp/239.69.1.74:10084
CCTV-第一剧场,http://www.akw323.com:9527/rtp/238.255.2.25:5999
CCTV-兵器科技,http://doityoume.x3322.net:5100/rtp/239.69.1.79:10114
CCTV-兵器科技,http://www.akw323.com:9527/rtp/238.255.2.34:5999
CCTV-风云足球,http://doityoume.x3322.net:5100/rtp/239.69.1.81:10126
CCTV-风云足球,http://www.akw323.com:9527/rtp/238.255.2.29:5999
CCTV-高尔夫网球,http://doityoume.x3322.net:5100/rtp/239.69.1.83:10138
CCTV-高尔夫网球,http://www.akw323.com:9527/rtp/238.255.2.223:5999
CCTV-老故事,http://doityoume.x3322.net:5100/rtp/239.69.1.85:10150
CCTV-老故事,http://www.akw323.com:9527/rtp/238.255.2.35:5999
CCTV-电视指南,http://doityoume.x3322.net:5100/rtp/239.69.1.87:10162
CCTV-怀旧剧场,http://doityoume.x3322.net:5100/rtp/239.69.1.89:10174
CCTV-怀旧剧场,http://www.akw323.com:9527/rtp/238.255.2.33:5999
CCTV-风云音乐,http://doityoume.x3322.net:5100/rtp/239.69.1.90:10180
CCTV-风云音乐,http://www.akw323.com:9527/rtp/238.255.2.24:5999
CCTV-世界地理,http://doityoume.x3322.net:5100/rtp/239.69.1.91:10186
CCTV-世界地理,http://www.akw323.com:9527/rtp/238.255.2.26:5999
CCTV-央视台球,http://doityoume.x3322.net:5100/rtp/239.69.1.98:10224


卫视直播,#genre#
浙江卫视高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=zjws
东方卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=dfws
辽宁卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=llws
北京卫视高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=bjws
贵州卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=gzws
重庆卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cqws
云南卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=ynwx
旅游卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=lyws
安徽卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=ahws
优漫卡通,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=ymkt
江西卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jxws
吉林卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jlws
四海钓鱼,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=shdy
天津卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=tjws
卡酷动画,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=kkdh
广西卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=gxws
四川卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=scws
湖北卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hbws
陕西卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=sxws
江苏卫视高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jsws
东南卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=dnws
黑龙江卫视高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hljws
广东卫视,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=gdws
山东卫视高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=sdwd
湖南经视高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hnjs
湖南公共,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hngg
湖南卫视高清,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hnws
金鹰卡通,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jykt
金鹰纪实,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=jyjs
先锋乒羽,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=xfpy
湖南娱乐,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hnyl
湖南都市,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hnds
湖南电视剧,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=hndsj
快乐垂钓,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=klcd
