有效 | http://27.156.64.-217:4022 | 中国 福建 福州 电信
e3.woc.iiiya.cn:28888  | 中国 福建 厦门 电信
e2.woc.iiiya.cn:28888  | 中国 福建 厦门 电信



福建电信,#genre#
东森新闻,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.194:1025
中天亚洲,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.195:1025
三立新闻,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.196:1025
台视新闻,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.197:1025
TVBS新闻,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.198:1025

福建综合,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.167:1025
福建综合,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.1:1025
福建公共,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.3:1025
福建新闻,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.4:1025
福建电视剧,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.5:1025
福建旅游,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.6:1025
福建经济生活,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.7:1025
福建文体,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.44:1025
福建少儿,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.9:1025
福建教育,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.60:1025
福州新闻,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.97:1025
福建交通,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.155:1025
海峡卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.45:1025
厦门卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.11:1025
厦门1套,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.99:1025
厦门1套,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.139:1025
厦门2套,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.140:1025
漳州新闻,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.91:1025
泉州新闻,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.98:1025
三明新闻,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.93:1025
莆田新闻,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.94:1025
南平新闻,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.92:1025
龙岩新闻,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.95:1025
宁德新闻,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.96:1025
平潭1套,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.117:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.176:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.27:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.42:1025
CCTV1,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.180:1025
CCTV2,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.61:1025
CCTV3,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.120:1025
CCTV3,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.117:1025
CCTV4,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.56:1025
CCTV5,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.118:1025
CCTV5,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.121:1025
CCTV5,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.121:1025
CCTV5+,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.58:1025
